Year,Rank,Team,All Contracts,All Contract Values
2011,1,CAR,3,"$141,000,000"
2011,2,SEA,9,"$110,185,000"
2011,3,NYJ,5,"$98,052,280"
2011,4,ARI,13,"$85,065,000"
2011,5,NYG,8,"$51,140,000"
2011,6,BAL,6,"$63,200,000"
2011,7,SF,7,"$59,250,000"
2011,8,ATL,7,"$84,350,000"
2011,9,DAL,4,"$30,250,000"
2011,10,CHI,7,"$30,625,000"
2011,11,DET,7,"$21,470,000"
2011,12,IND,3,"$15,600,000"
2011,13,WAS,5,"$34,420,000"
2011,14,CIN,6,"$15,000,000"
2011,15,SD,13,"$89,758,000"
2011,16,STL,4,"$4,985,000"
2011,17,OAK,2,"$2,610,000"
2011,18,DEN,3,"$4,635,000"
2011,19,CLE,4,"$11,025,000"
2011,20,MIN,4,"$15,720,000"
2011,21,TEN,8,"$17,450,000"
2011,22,NE,7,"$23,185,000"
2011,23,MIA,3,"$28,000,000"
2011,24,GB,3,"$31,650,000"
2011,25,PIT,9,"$35,701,000"
2011,26,KC,8,"$35,815,000"
2011,27,BUF,4,"$40,200,000"
2011,28,NO,7,"$64,360,000"
2011,29,JAX,6,"$76,500,000"
2011,30,HOU,6,"$85,950,000"
2011,31,TB,8,"$116,798,270"
2011,32,PHI,5,"$120,110,000"
2012,1,WAS,18,"$84,065,000"
2012,2,BUF,6,"$127,712,500"
2012,3,STL,16,"$88,925,000"
2012,4,DAL,9,"$83,965,000"
2012,5,TB,18,"$163,727,555"
2012,6,SF,13,"$74,445,000"
2012,7,TEN,10,"$62,202,000"
2012,8,CLE,6,"$43,400,000"
2012,9,SD,22,"$115,580,000"
2012,10,DEN,18,"$151,140,000"
2012,11,CHI,17,"$41,025,000"
2012,12,PHI,12,"$73,287,000"
2012,13,ATL,9,"$36,398,000"
2012,14,GB,9,"$31,240,001"
2012,15,CAR,6,"$16,075,000"
2012,16,KC,10,"$39,767,000"
2012,17,NE,23,"$61,072,120"
2012,18,BAL,17,"$96,691,000"
2012,19,SEA,13,"$59,740,000"
2012,20,CIN,10,"$49,840,000"
2012,21,IND,10,"$50,950,001"
2012,22,JAX,18,"$85,626,875"
2012,23,ARI,16,"$40,472,000"
2012,24,HOU,11,"$33,530,000"
2012,25,MIA,15,"$40,907,500"
2012,26,NYG,8,"$6,640,000"
2012,27,NYJ,14,"$13,961,181"
2012,28,OAK,14,"$14,685,000"
2012,29,PIT,16,"$17,287,000"
2012,30,DET,22,"$29,367,000"
2012,31,MIN,10,"$44,600,000"
2012,32,NO,19,"$122,430,000"
2013,1,MIA,16,"$160,973,750"
2013,2,IND,11,"$124,580,000"
2013,3,CHI,28,"$73,756,200"
2013,4,STL,9,"$83,971,154"
2013,5,NE,18,"$89,770,000"
2013,6,TEN,21,"$111,525,000"
2013,7,MIN,14,"$93,190,000"
2013,8,ATL,6,"$62,190,000"
2013,9,CLE,22,"$97,810,000"
2013,10,PHI,11,"$96,395,000"
2013,11,KC,15,"$70,920,000"
2013,12,DEN,13,"$60,895,000"
2013,13,DET,22,"$97,100,000"
2013,14,BAL,24,"$66,490,000"
2013,15,SD,18,"$50,960,000"
2013,16,CIN,15,"$55,856,000"
2013,17,ARI,19,"$48,963,750"
2013,18,NO,17,"$47,260,000"
2013,19,OAK,26,"$46,495,000"
2013,20,HOU,10,"$31,552,500"
2013,21,SEA,10,"$24,066,000"
2013,22,BUF,13,"$29,000,000"
2013,23,SF,17,"$28,260,001"
2013,24,JAX,13,"$19,275,000"
2013,25,NYJ,18,"$26,652,500"
2013,26,GB,3,"$12,795,000"
2013,27,CAR,13,"$15,837,500"
2013,28,WAS,13,"$16,605,000"
2013,29,NYG,13,"$12,460,000"
2013,30,TB,19,"$19,380,000"
2013,31,PIT,12,"$14,145,000"
2013,32,DAL,11,"$9,030,294"
2014,1,DEN,9,"$128,820,000"
2014,2,TB,17,"$146,870,000"
2014,3,MIA,16,"$100,775,000"
2014,4,WAS,18,"$102,995,000"
2014,5,OAK,18,"$104,930,000"
2014,6,NO,18,"$95,220,000"
2014,7,NYG,25,"$111,055,000"
2014,8,CHI,29,"$99,895,001"
2014,9,IND,20,"$85,440,000"
2014,10,NYJ,17,"$88,685,000"
2014,11,ATL,16,"$98,435,000"
2014,12,CLE,16,"$75,955,000"
2014,13,BAL,18,"$83,640,000"
2014,14,JAX,11,"$87,710,000"
2014,15,ARI,15,"$64,960,000"
2014,16,NE,16,"$66,770,000"
2014,17,DET,14,"$57,978,529"
2014,18,TEN,17,"$67,125,000"
2014,19,STL,11,"$41,785,498"
2014,20,MIN,16,"$58,345,000"
2014,21,BUF,15,"$59,440,000"
2014,22,PHI,11,"$39,375,000"
2014,23,GB,8,"$47,348,125"
2014,24,SF,9,"$34,150,000"
2014,25,PIT,15,"$49,060,000"
2014,26,HOU,16,"$29,909,705"
2014,27,SD,16,"$29,005,000"
2014,28,KC,17,"$24,420,000"
2014,29,SEA,14,"$26,650,000"
2014,30,CAR,17,"$35,299,000"
2014,31,DAL,12,"$40,316,000"
2014,32,CIN,8,"$7,115,000"
2015,1,MIA,15,"$154,780,000"
2015,2,JAX,9,"$177,105,000"
2015,3,NYJ,20,"$181,996,060"
2015,4,OAK,17,"$148,365,000"
2015,5,TEN,17,"$135,215,000"
2015,6,BUF,13,"$71,915,000"
2015,7,ARI,14,"$71,690,000"
2015,8,KC,9,"$91,045,000"
2015,9,CHI,24,"$89,565,000"
2015,10,PHI,8,"$59,450,000"
2015,11,IND,15,"$81,318,529"
2015,12,WAS,14,"$68,760,000"
2015,13,SF,13,"$59,825,000"
2015,14,SD,8,"$57,675,000"
2015,15,NYG,23,"$74,555,000"
2015,16,CLE,9,"$45,300,000"
2015,17,HOU,17,"$51,525,000"
2015,18,STL,7,"$42,530,017"
2015,19,NO,17,"$40,350,000"
2015,20,ATL,16,"$55,640,000"
2015,21,BAL,11,"$35,785,000"
2015,22,CIN,10,"$56,290,000"
2015,23,SEA,10,"$28,840,000"
2015,24,NE,19,"$35,210,000"
2015,25,DEN,14,"$31,560,000"
2015,26,TB,13,"$39,113,125"
2015,27,DAL,12,"$34,776,600"
2015,28,MIN,8,"$14,530,000"
2015,29,CAR,8,"$9,755,000"
2015,30,DET,13,"$19,170,000"
2015,31,PIT,11,"$13,880,000"
2015,32,GB,3,"$5,420,000"
2016,1,NYG,19,"$214,645,000"
2016,2,JAX,11,"$224,540,000"
2016,3,OAK,10,"$156,125,000"
2016,4,HOU,12,"$140,695,000"
2016,5,PHI,11,"$116,500,000"
2016,6,WAS,14,"$97,115,000"
2016,7,ATL,23,"$122,315,000"
2016,8,CHI,32,"$130,095,000"
2016,9,KC,11,"$72,410,000"
2016,10,TB,9,"$75,800,000"
2016,11,NYJ,17,"$64,525,000"
2016,12,DET,21,"$70,985,000"
2016,13,NO,23,"$75,320,000"
2016,14,SD,12,"$70,415,000"
2016,15,SEA,16,"$61,380,000"
2016,16,BAL,9,"$50,430,000"
2016,17,TEN,11,"$56,985,000"
2016,18,DAL,16,"$53,870,000"
2016,19,MIN,14,"$54,415,000"
2016,20,LAR,12,"$43,376,666"
2016,21,MIA,16,"$33,310,000"
2016,22,NE,15,"$38,335,000"
2016,23,CLE,10,"$36,435,000"
2016,24,DEN,12,"$76,435,000"
2016,25,ARI,10,"$20,706,900"
2016,26,IND,12,"$28,080,000"
2016,27,SF,6,"$16,819,000"
2016,28,PIT,6,"$27,315,000"
2016,29,CIN,7,"$18,980,000"
2016,30,GB,5,"$15,300,000"
2016,31,CAR,9,"$14,460,000"
2016,32,BUF,19,"$14,655,000"
2017,1,JAX,17,"$179,260,000"
2017,2,CHI,30,"$137,663,750"
2017,3,SF,22,"$149,502,000"
2017,4,CLE,5,"$110,720,000"
2017,5,NO,25,"$125,755,000"
2017,6,DET,18,"$106,475,000"
2017,7,MIN,8,"$114,850,000"
2017,8,NE,8,"$90,825,000"
2017,9,CAR,11,"$97,850,000"
2017,10,TB,15,"$86,670,000"
2017,11,TEN,12,"$95,700,000"
2017,12,IND,16,"$93,985,000"
2017,13,LAR,11,"$91,654,999"
2017,14,BAL,13,"$110,300,000"
2017,15,BUF,27,"$96,325,000"
2017,16,WAS,8,"$72,240,000"
2017,17,DEN,9,"$70,415,000"
2017,18,LAC,7,"$60,905,000"
2017,19,NYJ,19,"$59,855,000"
2017,20,PHI,9,"$49,460,000"
2017,21,MIA,11,"$41,774,445"
2017,22,NYG,12,"$41,555,000"
2017,23,ATL,9,"$36,220,000"
2017,24,SEA,17,"$30,720,000"
2017,25,DAL,14,"$40,805,000"
2017,26,GB,10,"$39,640,001"
2017,27,OAK,8,"$28,235,000"
2017,28,ARI,18,"$37,630,000"
2017,29,KC,11,"$26,990,000"
2017,30,HOU,6,"$17,325,000"
2017,31,CIN,6,"$12,530,000"
2017,32,PIT,7,"$18,730,000"
2018,1,NYJ,30,"$202,180,000"
2018,2,CHI,19,"$175,435,000"
2018,3,MIN,14,"$104,673,000"
2018,4,TEN,12,"$144,277,000"
2018,5,SF,10,"$124,500,000"
2018,6,KC,15,"$123,005,000"
2018,7,CLE,13,"$134,990,000"
2018,8,JAX,10,"$115,605,000"
2018,9,BUF,23,"$118,538,530"
2018,10,HOU,14,"$109,655,000"
2018,11,NYG,15,"$100,840,000"
2018,12,TB,13,"$110,305,000"
2018,13,OAK,30,"$95,115,000"
2018,14,DEN,7,"$70,015,000"
2018,15,ARI,12,"$85,985,000"
2018,16,NO,22,"$85,702,500"
2018,17,MIA,12,"$60,475,000"
2018,18,WAS,9,"$74,155,000"
2018,19,DET,19,"$60,990,000"
2018,20,GB,8,"$51,375,000"
2018,21,CAR,11,"$59,590,000"
2018,22,IND,13,"$50,195,000"
2018,23,LAC,8,"$38,945,000"
2018,24,BAL,2,"$26,000,000"
2018,25,SEA,17,"$43,405,000"
2018,26,NE,16,"$41,697,500"
2018,27,LAR,6,"$43,815,000"
2018,28,ATL,12,"$24,660,000"
2018,29,PHI,9,"$15,145,000"
2018,30,CIN,5,"$23,550,000"
2018,31,DAL,7,"$23,780,000"
2018,32,PIT,8,"$9,630,000"
2019,1,NYJ,23,"$202,050,000"
2019,2,DET,19,"$173,060,000"
2019,3,OAK,33,"$177,760,000"
2019,4,BUF,22,"$182,400,000"
2019,5,DEN,13,"$120,980,000"
2019,6,JAX,21,"$132,585,000"
2019,7,GB,8,"$186,430,000"
2019,8,ARI,29,"$110,265,000"
2019,9,TEN,8,"$108,030,000"
2019,10,BAL,18,"$85,975,000"
2019,11,SF,16,"$87,070,000"
2019,12,NE,28,"$77,946,000"
2019,13,NO,30,"$82,895,000"
2019,14,NYG,22,"$66,140,000"
2019,15,CLE,11,"$70,250,000"
2019,16,PHI,17,"$55,840,000"
2019,17,ATL,17,"$71,180,000"
2019,18,IND,13,"$40,075,000"
2019,19,HOU,17,"$55,035,000"
2019,20,SEA,18,"$64,380,000"
2019,21,CAR,16,"$56,880,000"
2019,22,TB,18,"$41,435,000"
2019,23,PIT,9,"$65,471,000"
2019,24,KC,16,"$38,800,000"
2019,25,CHI,13,"$46,285,000"
2019,26,LAC,11,"$39,575,000"
2019,27,MIN,11,"$35,735,000"
2019,28,LAR,4,"$21,557,050"
2019,29,CIN,8,"$36,070,000"
2019,30,MIA,17,"$37,280,000"
2019,31,DAL,11,"$25,190,000"
2019,32,WAS,12,"$17,615,000"
2020,1,MIA,13,"$236,757,500"
2020,2,LV,20,"$128,530,000"
2020,3,CLE,16,"$126,220,000"
2020,4,NYG,23,"$110,052,500"
2020,5,TB,16,"$75,290,000"
2020,6,CAR,18,"$126,867,500"
2020,7,DET,16,"$120,100,000"
2020,8,NYJ,18,"$95,277,500"
2020,9,DEN,13,"$89,735,000"
2020,10,BUF,16,"$97,622,500"
2020,11,CHI,21,"$103,665,000"
2020,12,CIN,17,"$137,395,000"
2020,13,LAC,7,"$70,020,000"
2020,14,WAS,25,"$95,988,500"
2020,15,JAX,19,"$97,945,000"
2020,16,ARI,23,"$68,545,000"
2020,17,ATL,14,"$60,342,500"
2020,18,PHI,9,"$49,747,500"
2020,19,NO,21,"$75,005,000"
2020,20,HOU,9,"$52,780,000"
2020,21,TEN,19,"$40,527,500"
2020,22,IND,12,"$37,317,500"
2020,23,MIN,12,"$43,845,000"
2020,24,SEA,14,"$44,565,000"
2020,25,DAL,14,"$49,720,000"
2020,26,LAR,5,"$29,475,000"
2020,27,KC,17,"$18,514,500"
2020,28,PIT,12,"$28,605,000"
2020,29,BAL,12,"$16,840,000"
2020,30,GB,6,"$16,500,000"
2020,31,NE,16,"$24,445,000"
2020,32,SF,15,"$15,400,000"
2021,1,NE,29,"$290,826,000"
2021,2,JAX,29,"$165,990,000"
2021,3,NYJ,23,"$134,785,000"
2021,4,NYG,28,"$155,225,000"
2021,5,SF,31,"$194,130,000"
2021,6,KC,15,"$102,647,500"
2021,7,TEN,35,"$157,672,500"
2021,8,WAS,24,"$108,832,500"
2021,9,LV,27,"$75,132,500"
2021,10,LAC,18,"$100,885,000"
2021,11,CLE,19,"$74,570,000"
2021,12,CAR,24,"$84,252,500"
2021,13,BAL,14,"$76,912,500"
2021,14,DET,25,"$73,532,500"
2021,15,ARI,27,"$67,282,500"
2021,16,TB,22,"$60,555,000"
2021,17,SEA,20,"$71,500,000"
2021,18,DEN,16,"$60,510,000"
2021,19,CIN,17,"$129,560,000"
2021,20,MIA,24,"$54,737,511"
2021,21,HOU,37,"$91,600,000"
2021,22,CHI,24,"$45,475,000"
2021,23,IND,19,"$39,137,500"
2021,24,DAL,15,"$37,452,500"
2021,25,PIT,22,"$43,870,000"
2021,26,MIN,20,"$30,490,000"
2021,27,BUF,21,"$32,492,500"
2021,28,NO,28,"$40,467,500"
2021,29,PHI,12,"$22,590,000"
2021,30,ATL,21,"$24,370,000"
2021,31,GB,15,"$22,665,000"
2021,32,LAR,6,"$8,870,000"
2022,1,JAX,13,"$268,205,000"
2022,2,MIA,21,"$172,857,500"
2022,3,BUF,18,"$172,235,000"
2022,4,NYJ,14,"$174,575,000"
2022,5,LAC,13,"$148,292,500"
2022,6,PHI,13,"$98,725,000"
2022,7,NO,19,"$105,970,500"
2022,8,BAL,15,"$125,025,000"
2022,9,CAR,18,"$110,370,000"
2022,10,LV,29,"$102,299,500"
2022,11,TB,16,"$85,517,500"
2022,12,KC,15,"$84,870,000"
2022,13,LAR,5,"$99,465,000"
2022,14,SF,18,"$75,295,000"
2022,15,MIN,18,"$97,490,000"
2022,16,DEN,15,"$53,480,000"
2022,17,PIT,14,"$100,402,500"
2022,18,HOU,23,"$73,065,000"
2022,19,ATL,29,"$74,377,500"
2022,20,CHI,19,"$56,715,000"
2022,21,SEA,10,"$48,605,000"
2022,22,CIN,13,"$93,975,000"
2022,23,CLE,19,"$46,927,500"
2022,24,NYG,23,"$51,815,000"
2022,25,DAL,11,"$42,965,000"
2022,26,IND,14,"$42,192,500"
2022,27,WAS,10,"$32,500,000"
2022,28,TEN,16,"$30,210,000"
2022,29,DET,10,"$20,552,500"
2022,30,NE,6,"$27,315,000"
2022,31,GB,7,"$36,015,000"
2022,32,ARI,17,"$19,362,500"
2023,1,DEN,19,"$254,995,000"
2023,2,NO,19,"$215,949,000"
2023,3,CHI,17,"$178,907,500"
2023,4,ATL,24,"$214,465,000"
2023,5,LV,30,"$179,823,750"
2023,6,CAR,22,"$150,622,500"
2023,7,KC,17,"$122,982,500"
2023,8,MIN,22,"$109,770,000"
2023,9,DET,20,"$114,962,500"
2023,10,CLE,17,"$120,797,500"
2023,11,SF,22,"$132,460,000"
2023,12,HOU,28,"$96,192,500"
2023,13,NE,19,"$105,675,000"
2023,14,PHI,20,"$88,497,500"
2023,15,SEA,10,"$90,177,500"
2023,16,TEN,17,"$104,525,000"
2023,17,NYJ,24,"$91,050,000"
2023,18,TB,17,"$91,335,000"
2023,19,NYG,18,"$89,312,500"
2023,20,BUF,22,"$78,607,778"
